Scale Height,Pressure (hPa),-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,1013,-54,-95,-124,-126,-124,-95,-54,-13,22,47,58,51,34,14,-2,-11,-17,-22,-26,-22,-9,9,25,32,35,23,4,-12,-22,-22,-10,-4,-5
0.25,788.93,1672,1710,1748,1781,1814,1868,1933,1999,2058,2105,2138,2153,2153,2146,2139,2134,2133,2131,2132,2138,2149,2160,2166,2158,2139,2102,2060,2025,1997,1979,1969,1956,1939
0.5,614.42,3363,3423,3509,3598,3668,3750,3840,3930,4014,4085,4142,4180,4199,4202,4202,4199,4200,4202,4205,4213,4224,4231,4227,4204,4167,4107,4043,3987,3942,3908,3882,3856,3830
0.75,478.51,5086,5154,5243,5342,5445,5552,5666,5780,5888,5984,6067,6129,6169,6184,6189,6189,6191,6194,6199,6207,6216,6220,6206,6169,6113,6032,5946,5871,5809,5760,5719,5682,5649
1,372.66,6732,6807,6896,7002,7135,7266,7403,7540,7671,7792,7903,7991,8053,8081,8094,8097,8100,8104,8110,8118,8124,8122,8099,8046,7968,7867,7762,7668,7589,7525,7471,7424,7384
1.25,290.23,8292,8373,8460,8573,8735,8889,9047,9204,9357,9502,9638,9751,9833,9873,9893,9899,9904,9910,9916,9923,9927,9919,9886,9817,9719,9598,9476,9367,9274,9199,9135,9080,9036
1.5,226.03,9797,9884,9972,10091,10285,10464,10645,10821,10990,11150,11301,11428,11522,11569,11594,11603,11610,11617,11624,11631,11634,11622,11582,11502,11391,11259,11129,11013,10916,10837,10770,10715,10673
1.75,176.03,11260,11359,11459,11599,11821,12026,12228,12416,12594,12755,12905,13032,13126,13172,13197,13207,13213,13220,13229,13237,13241,13229,13188,13107,12996,12866,12740,12629,12538,12465,12402,12352,12315
2,137.09,12692,12810,12936,13110,13359,13589,13812,14005,14185,14331,14466,14577,14657,14695,14717,14725,14728,14732,14744,14754,14762,14755,14722,14653,14559,14445,14334,14237,14156,14091,14036,13991,13958
2.25,106.77,14106,14247,14402,14615,14894,15152,15398,15595,15770,15892,16000,16083,16141,16165,16178,16183,16182,16183,16198,16212,16225,16228,16210,16164,16099,16011,15924,15844,15777,15720,15671,15632,15601
2.5,83.15,15511,15677,15864,16116,16428,16716,16984,17185,17355,17452,17532,17587,17622,17632,17638,17638,17633,17631,17649,17667,17686,17699,17698,17675,17638,17578,17515,17453,17398,17348,17306,17270,17240
2.75,64.76,16914,17105,17326,17620,17963,18281,18572,18777,18943,19019,19078,19111,19129,19129,19128,19125,19114,19109,19130,19153,19177,19199,19211,19206,19192,19153,19109,19062,19018,18976,18938,18904,18875
3,50.43,18319,18537,18792,19126,19502,19850,20163,20373,20538,20598,20641,20659,20665,20658,20652,20646,20630,20620,20645,20671,20700,20730,20752,20760,20761,20737,20708,20673,20637,20600,20566,20534,20505
3.25,39.28,19735,19981,20265,20637,21046,21425,21763,21977,22144,22191,22225,22232,22228,22217,22206,22195,22172,22157,22186,22217,22249,22285,22316,22333,22345,22329,22311,22284,22254,22221,22188,22157,22128
3.5,30.59,21166,21439,21746,22153,22597,23008,23372,23592,23763,23800,23826,23825,23813,23797,23781,23765,23735,23716,23749,23784,23819,23860,23896,23921,23941,23931,23919,23896,23871,23840,23809,23777,23747
3.75,23.82,22607,22905,23234,23671,24149,24595,24986,25216,25393,25424,25446,25439,25420,25401,25380,25359,25326,25303,25340,25378,25416,25461,25502,25531,25555,25549,25539,25518,25494,25463,25432,25399,25367
4,18.55,24053,24380,24736,25205,25716,26192,26607,26848,27030,27061,27082,27071,27049,27028,27005,26980,26944,26919,26958,26999,27039,27086,27129,27160,27186,27182,27172,27150,27126,27094,27060,27024,26990
4.25,14.45,25534,25893,26279,26780,27313,27809,28238,28487,28675,28711,28736,28726,28703,28683,28658,28631,28592,28567,28606,28648,28690,28737,28779,28811,28837,28834,28822,28799,28773,28739,28700,28660,28623
4.5,11.25,27077,27465,27878,28402,28946,29447,29879,30132,30326,30371,30405,30400,30380,30361,30336,30308,30268,30242,30282,30325,30367,30411,30452,30483,30510,30506,30493,30469,30439,30403,30357,30310,30270
4.75,8.764,28702,29113,29544,30077,30618,31112,31538,31792,31990,32048,32095,32099,32086,32069,32045,32016,31975,31948,31988,32031,32073,32112,32150,32180,32206,32202,32188,32163,32130,32088,32031,31975,31933
5,6.826,30414,30840,31278,31807,32334,32809,33223,33474,33676,33749,33810,33828,33826,33813,33791,33761,33718,33688,33727,33767,33807,33842,33876,33903,33928,33924,33909,33883,33845,33795,33724,33657,33611
5.25,5.316,32219,32651,33086,33598,34099,34548,34943,35188,35396,35481,35559,35594,35606,35600,35582,35551,35504,35470,35506,35542,35577,35608,35638,35661,35685,35681,35665,35636,35591,35530,35441,35361,35312
5.5,4.14,34089,34523,34947,35435,35904,36320,36694,36933,37147,37245,37338,37393,37422,37424,37411,37378,37328,37291,37323,37352,37382,37407,37432,37452,37475,37470,37452,37419,37363,37291,37183,37090,37037
5.75,3.224,36013,36443,36852,37311,37745,38127,38479,38709,38929,39040,39151,39227,39274,39283,39276,39243,39190,39149,39177,39199,39222,39239,39258,39277,39300,39294,39273,39232,39163,39079,38952,38846,38790
6,2.511,37980,38402,38791,39219,39620,39966,40295,40518,40745,40869,40998,41097,41161,41178,41176,41144,41089,41044,41066,41081,41097,41105,41116,41134,41161,41152,41126,41077,40993,40897,40752,40633,40574
6.25,1.956,39977,40388,40756,41152,41523,41837,42148,42365,42599,42738,42887,43006,43086,43109,43112,43081,43024,42976,42993,43000,43009,43008,43011,43028,43057,43046,43016,42958,42862,42753,42591,42460,42396
6.5,1.523,41987,42386,42731,43097,43442,43728,44024,44238,44481,44637,44804,44941,45036,45064,45070,45041,44982,44931,44942,44944,44946,44936,44933,44947,44977,44964,44932,44867,44760,44640,44463,44321,44250
6.75,1.186,44008,44392,44712,45050,45370,45631,45915,46129,46383,46554,46739,46892,46998,47031,47040,47014,46953,46898,46905,46903,46900,46883,46874,46885,46914,46899,46864,46794,46679,46550,46361,46211,46132
7,0.9237,46038,46403,46697,47004,47300,47538,47811,48025,48291,48476,48676,48844,48961,48998,49011,48988,48926,48869,48871,48865,48857,48837,48823,48831,48858,48840,48803,48728,48607,48472,48276,48120,48036