Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,231.8,273.4,276.7,280.7,287.5,293.4,297.8,300.5,301,300.9,298.7,294.2,287.9,281.6,277.3,269.2,263.6
5000,231.8,236.6,243.4,250.7,258.1,264.6,270,272.3,272.5,272.5,271.3,267.5,261.9,255.5,250.3,246,242.8
10000,211.7,214.3,216.8,219.5,223.3,229.4,235.6,238.8,239.5,239.4,237,232.1,226.3,223.7,223.7,224.8,226.2
15000,206.5,210.2,214.3,216.2,214,208.6,203,199.9,199.7,200.2,203,208.2,214.2,219.4,223.4,226.4,228.7
20000,198.5,204.3,210.4,215,215.1,212.3,209.2,207.4,206.8,207.3,209.4,212.5,216.2,220.2,224.1,227.5,230
25000,187.5,196.5,206.6,214.6,219.2,221.1,221.5,221.3,220.6,220.8,222,221.8,221.3,222.5,224.2,226.6,229
30000,204.2,202.9,204.7,212.6,220.9,226.9,229.8,231.7,231.4,230.8,231.9,231.9,230.8,230.8,232,233.8,234.8
35000,220.6,217.6,215,218.5,228.5,236.2,242.4,246.1,247.3,246.7,245.4,245.7,247,247.6,248,248,247.2
40000,236.7,234.8,231.8,233.7,241.5,249.8,255.5,258,258.7,258.6,258,259.4,262.9,263.9,263.9,264.9,264.7
45000,253.6,251.5,246.8,247.1,255.2,261,265.3,265.8,266,266.4,267.3,269.7,272.9,274.6,275.6,276.1,276.9
50000,260.4,259.5,254.8,252.3,255.7,261.3,264.8,266.7,266.7,266.5,267.9,269.2,271.2,273.4,275.3,277.9,280.6